Date,Username,Rating,Review Text,cleaning,case folding,normalisasi,tokenize,stopword removal,steming_data,Sentiment
2025-04-27 08:15:13,Imam Syahputra,1,"penanganan trouble lama sekali saat buat ulasan ini sudah hari ke2 trobel, tapi belom ada tanda² perbaikan",penanganan trouble lama sekali saat buat ulasan ini sudah hari ke trobel tapi belom ada tanda perbaikan,penanganan trouble lama sekali saat buat ulasan ini sudah hari ke trobel tapi belom ada tanda perbaikan,penanganan trouble lama sekali saat buat ulasan ini sudah hari ke trobel tapi belum ada tanda perbaikan,"['penanganan', 'trouble', 'lama', 'sekali', 'saat', 'buat', 'ulasan', 'ini', 'sudah', 'hari', 'ke', 'trobel', 'tapi', 'belum', 'ada', 'tanda', 'perbaikan']","['penanganan', 'trouble', 'ulasan', 'trobel', 'tanda', 'perbaikan']",tangan trouble ulas trobel tanda baik,Positif
2025-04-23 00:46:32,Jhon S,1,"jangan pernah pakai wifi ini jika tidak mau menyesal.Ada keluhan yg nanggapi Bot.Kita hub pemasangan Malah ngak ada yg peduli. laporan Berulang ulang gak ada Gunanya.Bayaran Tetap,Namun Pemakaian Tidak ada.",jangan pernah pakai wifi ini jika tidak mau menyesalAda keluhan yg nanggapi BotKita hub pemasangan Malah ngak ada yg peduli laporan Berulang ulang gak ada GunanyaBayaran TetapNamun Pemakaian Tidak ada,jangan pernah pakai wifi ini jika tidak mau menyesalada keluhan yg nanggapi botkita hub pemasangan malah ngak ada yg peduli laporan berulang ulang gak ada gunanyabayaran tetapnamun pemakaian tidak ada,jangan pernah pakai wifi ini jika tidak mau menyesalada keluhan yang nanggapi botkita hubungan pemasangan malah tidak ada yang peduli laporan berulang ulang tidak ada gunanyabayaran tetapnamun pemakaian tidak ada,"['jangan', 'pernah', 'pakai', 'wifi', 'ini', 'jika', 'tidak', 'mau', 'menyesalada', 'keluhan', 'yang', 'nanggapi', 'botkita', 'hubungan', 'pemasangan', 'malah', 'tidak', 'ada', 'yang', 'peduli', 'laporan', 'berulang', 'ulang', 'tidak', 'ada', 'gunanyabayaran', 'tetapnamun', 'pemakaian', 'tidak', 'ada']","['pakai', 'wifi', 'menyesalada', 'keluhan', 'nanggapi', 'botkita', 'hubungan', 'pemasangan', 'peduli', 'laporan', 'berulang', 'ulang', 'gunanyabayaran', 'tetapnamun', 'pemakaian']",pakai wifi menyesalada keluh nanggapi botkita hubung pasang peduli lapor ulang ulang gunanyabayaran tetapnamun pakai,Positif
2025-04-22 23:38:21,Rhenisa 123,5,cepat pengurusannya dan tdk ribet teknisinya langsung s@t set 30 menit kelar😂,cepat pengurusannya dan tdk ribet teknisinya langsung st set  menit kelar,cepat pengurusannya dan tdk ribet teknisinya langsung st set  menit kelar,cepat pengurusannya dan tidak ribet teknisinya langsung st set menit kelar,"['cepat', 'pengurusannya', 'dan', 'tidak', 'ribet', 'teknisinya', 'langsung', 'st', 'set', 'menit', 'kelar']","['cepat', 'pengurusannya', 'ribet', 'teknisinya', 'langsung', 'st', 'set', 'menit', 'kelar']",cepat urus ribet teknisi langsung st set menit kelar,Positif
2025-04-22 07:50:17,Ahra Vapehouse,1,"apaan ini ,trouble udah lebih 4 hari ga diperbaiki sangat merugikan",apaan ini trouble udah lebih  hari ga diperbaiki sangat merugikan,apaan ini trouble udah lebih  hari ga diperbaiki sangat merugikan,apaan ini trouble sudah lebih hari tidak diperbaiki sangat merugikan,"['apaan', 'ini', 'trouble', 'sudah', 'lebih', 'hari', 'tidak', 'diperbaiki', 'sangat', 'merugikan']","['trouble', 'diperbaiki', 'merugikan']",trouble baik rugi,Negatif
2025-04-21 13:04:26,Shaki Zaidan channel,4,"aplikasi eror banyak bugnya, tampilan awal GK muncul, terus apa gunanya di perbarui!!!",aplikasi eror banyak bugnya tampilan awal GK muncul terus apa gunanya di perbarui,aplikasi eror banyak bugnya tampilan awal gk muncul terus apa gunanya di perbarui,aplikasi eror banyak bugnya tampilan awal tidak muncul terus apa gunanya di perbarui,"['aplikasi', 'eror', 'banyak', 'bugnya', 'tampilan', 'awal', 'tidak', 'muncul', 'terus', 'apa', 'gunanya', 'di', 'perbarui']","['aplikasi', 'eror', 'bugnya', 'tampilan', 'muncul', 'gunanya', 'perbarui']",aplikasi eror bugnya tampil muncul guna baru,Negatif
2025-04-20 01:39:25,Sunengsih Nengsih,5,ok,ok,ok,ok,['ok'],['ok'],ok,Positif
2025-04-18 03:30:25,Susi Soenarto,5,bagus kok. yg lain buzer yah ?,bagus kok yg lain buzer yah ,bagus kok yg lain buzer yah ,bagus kok yang lain buzer ya,"['bagus', 'kok', 'yang', 'lain', 'buzer', 'ya']","['bagus', 'buzer', 'ya']",bagus buzer ya,Positif
2025-04-14 00:26:50,yandra ilyas,1,"dari awal pakai sampai skrg tiap bulan los merah, musti datang tehnisi utk perbaikan, masak tiap bulan musti kasih uang rokok ke tehnisi, kalo gak di kasih kasian & muka mereka manyun, gak usah nawarin paket promo, BENERIN DULU JARINGANNYA!!!",dari awal pakai sampai skrg tiap bulan los merah musti datang tehnisi utk perbaikan masak tiap bulan musti kasih uang rokok ke tehnisi kalo gak di kasih kasian  muka mereka manyun gak usah nawarin paket promo BENERIN DULU JARINGANNYA,dari awal pakai sampai skrg tiap bulan los merah musti datang tehnisi utk perbaikan masak tiap bulan musti kasih uang rokok ke tehnisi kalo gak di kasih kasian  muka mereka manyun gak usah nawarin paket promo benerin dulu jaringannya,dari awal pakai sampai sekarang tiap bulan los merah musti datang tehnisi untuk perbaikan masak tiap bulan musti kasih uang rokok ke tehnisi kalau tidak di kasih kasihan muka mereka manyun tidak usah menawari paket promo benerin dulu jaringannya,"['dari', 'awal', 'pakai', 'sampai', 'sekarang', 'tiap', 'bulan', 'los', 'merah', 'musti', 'datang', 'tehnisi', 'untuk', 'perbaikan', 'masak', 'tiap', 'bulan', 'musti', 'kasih', 'uang', 'rokok', 'ke', 'tehnisi', 'kalau', 'tidak', 'di', 'kasih', 'kasihan', 'muka', 'mereka', 'manyun', 'tidak', 'usah', 'menawari', 'paket', 'promo', 'benerin', 'dulu', 'jaringannya']","['pakai', 'los', 'merah', 'musti', 'tehnisi', 'perbaikan', 'masak', 'musti', 'kasih', 'uang', 'rokok', 'tehnisi', 'kasih', 'kasihan', 'muka', 'manyun', 'menawari', 'paket', 'promo', 'benerin', 'jaringannya']",pakai los merah musti tehnisi baik masak musti kasih uang rokok tehnisi kasih kasihan muka manyun tawar paket promo benerin jaring,Positif
2025-04-13 14:28:00,hadi suryana,5,"udah dari lebih 2 tahun lalu pake oxygen, alhamdulilah lancar aja make nya walaupun hujan gede dan petir juga lancar aja, cm pas telat dibayar 2 mggu kemudian ehh awal bulan muncul lagi tagihan nya dan sengaja gak gw bayar tgl 5 nya lgsg di putusin aja secara sepihak dr oxygen nya, yaudah saya stop aja dulu oxygen nya, skrg pasang lagi, hari Sabtu daftar pemasangan baru, hari mggu bayar, Senin dipasang lgsg lancar sampai sekarang. so jgn sampe telat bayar aja sih menurut gw mah",udah dari lebih  tahun lalu pake oxygen alhamdulilah lancar aja make nya walaupun hujan gede dan petir juga lancar aja cm pas telat dibayar  mggu kemudian ehh awal bulan muncul lagi tagihan nya dan sengaja gak gw bayar tgl  nya lgsg di putusin aja secara sepihak dr oxygen nya yaudah saya stop aja dulu oxygen nya skrg pasang lagi hari Sabtu daftar pemasangan baru hari mggu bayar Senin dipasang lgsg lancar sampai sekarang so jgn sampe telat bayar aja sih menurut gw mah,udah dari lebih  tahun lalu pake oxygen alhamdulilah lancar aja make nya walaupun hujan gede dan petir juga lancar aja cm pas telat dibayar  mggu kemudian ehh awal bulan muncul lagi tagihan nya dan sengaja gak gw bayar tgl  nya lgsg di putusin aja secara sepihak dr oxygen nya yaudah saya stop aja dulu oxygen nya skrg pasang lagi hari sabtu daftar pemasangan baru hari mggu bayar senin dipasang lgsg lancar sampai sekarang so jgn sampe telat bayar aja sih menurut gw mah,sudah dari lebih tahun lalu pakai oxygen alhamdulilah lancar saja memakai ya walaupun hujan gede dan petir juga lancar saja cuma pas telat dibayar mggu kemudian eh awal bulan muncul lagi tagihan ya dan sengaja tidak gue bayar tanggal ya langsung di putusin saja secara sepihak dari oxygen ya yaudah saya stop saja dulu oxygen ya sekarang pasang lagi hari sabtu daftar pemasangan baru hari mggu bayar senin dipasang langsung lancar sampai sekarang sok jangan sampai telat bayar saja sih menurut gue mah,"['sudah', 'dari', 'lebih', 'tahun', 'lalu', 'pakai', 'oxygen', 'alhamdulilah', 'lancar', 'saja', 'memakai', 'ya', 'walaupun', 'hujan', 'gede', 'dan', 'petir', 'juga', 'lancar', 'saja', 'cuma', 'pas', 'telat', 'dibayar', 'mggu', 'kemudian', 'eh', 'awal', 'bulan', 'muncul', 'lagi', 'tagihan', 'ya', 'dan', 'sengaja', 'tidak', 'gue', 'bayar', 'tanggal', 'ya', 'langsung', 'di', 'putusin', 'saja', 'secara', 'sepihak', 'dari', 'oxygen', 'ya', 'yaudah', 'saya', 'stop', 'saja', 'dulu', 'oxygen', 'ya', 'sekarang', 'pasang', 'lagi', 'hari', 'sabtu', 'daftar', 'pemasangan', 'baru', 'hari', 'mggu', 'bayar', 'senin', 'dipasang', 'langsung', 'lancar', 'sampai', 'sekarang', 'sok', 'jangan', 'sampai', 'telat', 'bayar', 'saja', 'sih', 'menurut', 'gue', 'mah']","['pakai', 'oxygen', 'alhamdulilah', 'lancar', 'memakai', 'ya', 'hujan', 'gede', 'petir', 'lancar', 'pas', 'telat', 'dibayar', 'mggu', 'eh', 'muncul', 'tagihan', 'ya', 'sengaja', 'gue', 'bayar', 'tanggal', 'ya', 'langsung', 'putusin', 'oxygen', 'ya', 'yaudah', 'stop', 'oxygen', 'ya', 'pasang', 'sabtu', 'daftar', 'pemasangan', 'mggu', 'bayar', 'senin', 'dipasang', 'langsung', 'lancar', 'sok', 'telat', 'bayar', 'sih', 'gue', 'mah']",pakai oxygen alhamdulilah lancar pakai ya hujan gede petir lancar pas telat bayar mggu eh muncul tagih ya sengaja gue bayar tanggal ya langsung putusin oxygen ya yaudah stop oxygen ya pasang sabtu daftar pasang mggu bayar senin pasang langsung lancar sok telat bayar sih gue mah,Positif
2025-04-13 13:07:19,Away anwar,1,"internet suka los. kecepatan jaringan down. sudah 2 hari internet mati tapi gak ada penanganan yg positif. CS ke agent whatssapp tidak respon. tlp berkali kali ke Cs , jwb nya hanya tunggu tunggu tunggu lg di proses. Asli... kinerja Oxygen bukan makin bagus malah menurun 😀. mudah²an ke depan nya oxygen bs lebih baik lagi",internet suka los kecepatan jaringan down sudah  hari internet mati tapi gak ada penanganan yg positif CS ke agent whatssapp tidak respon tlp berkali kali ke Cs  jwb nya hanya tunggu tunggu tunggu lg di proses Asli kinerja Oxygen bukan makin bagus malah menurun  mudahan ke depan nya oxygen bs lebih baik lagi,internet suka los kecepatan jaringan down sudah  hari internet mati tapi gak ada penanganan yg positif cs ke agent whatssapp tidak respon tlp berkali kali ke cs  jwb nya hanya tunggu tunggu tunggu lg di proses asli kinerja oxygen bukan makin bagus malah menurun  mudahan ke depan nya oxygen bs lebih baik lagi,internet suka los kecepatan jaringan down sudah hari internet mati tapi tidak ada penanganan yang positif cs ke agent whatssapp tidak respon telepon berkali kali ke cs jawab ya hanya tunggu tunggu tunggu lagi di proses asli kinerja oxygen bukan makin bagus malah menurun mudahan ke depan ya oxygen bisa lebih baik lagi,"['internet', 'suka', 'los', 'kecepatan', 'jaringan', 'down', 'sudah', 'hari', 'internet', 'mati', 'tapi', 'tidak', 'ada', 'penanganan', 'yang', 'positif', 'cs', 'ke', 'agent', 'whatssapp', 'tidak', 'respon', 'telepon', 'berkali', 'kali', 'ke', 'cs', 'jawab', 'ya', 'hanya', 'tunggu', 'tunggu', 'tunggu', 'lagi', 'di', 'proses', 'asli', 'kinerja', 'oxygen', 'bukan', 'makin', 'bagus', 'malah', 'menurun', 'mudahan', 'ke', 'depan', 'ya', 'oxygen', 'bisa', 'lebih', 'baik', 'lagi']","['internet', 'suka', 'los', 'kecepatan', 'jaringan', 'down', 'internet', 'mati', 'penanganan', 'positif', 'cs', 'agent', 'whatssapp', 'respon', 'telepon', 'berkali', 'kali', 'cs', 'ya', 'tunggu', 'tunggu', 'tunggu', 'proses', 'asli', 'kinerja', 'oxygen', 'bagus', 'menurun', 'mudahan', 'ya', 'oxygen']",internet suka los cepat jaring down internet mati tangan positif cs agent whatssapp respon telepon kali kali cs ya tunggu tunggu tunggu proses asli kerja oxygen bagus turun mudah ya oxygen,Positif
