text,sentiment
bayar ribu wifi mati aktif bayar rbtagihan situ sehat cari duit halal bos nipu custemer nama,Negatif
kecewa banget minggu internet matialesannya baik tiang mustikajayasaya bantargebangjauh bgtmasa iya sebantargebang mati smuag komplain gtg mungkinlahpelayanannya burukinternetnya burukpgn pindah indihome ajabaru masang minggu kecewa banget minggu internet matiqt langgan kena denda ribu pakai thnlahblm internet mati minggugmn pengin pindah wifiburuk buruk buruk,Positif
parah respon kendala los koneksi lot aduin whatsapp suruh tunggu kali jam kagak respon teknisi gilir telpon suruh tunggu xjam ajak antem konsumen guna wa telp coba urus keluh langgan lelet,Negatif
pakai los merah musti tehnisi baik masak musti kasih uang rokok tehnisi kasih kasihan muka manyun tawar paket promo benerin jaring,Positif
kali buka lowong sales ber alam baca dongo otak,Positif
wifi lag ping merah putus putus,Positif
puas wifi drmh los merah baik pdahl adu kmna,Negatif
apk jembut error dibetulin,Negatif
oke,Positif
wifi pasang sabtu minggu siang jam ya los ya merah kabarin les telfon cs jawabanya minggu senin teknisi pasang full lelet,Positif
kesini jaring kacaumasa cepat download kbsmending pakai sinyal selularotw ganti jaring mahkerjaan ganggu bangetdipake zoom meeting bisabangkeee,Positif
layan bermutudari internetnya cs teknisi profesional tangan masalah internet install sabtu minggu teknisi suruh weekend pakai internetnyatrus kerja ya kepake internetnya picik banget sih bisnis ya moga cepat bangkrut kalianamin,Positif
aplikasi update tingkat ux ya baik layan adu keluh sangay bergenti jebak langgan janji janji busuk terimakasih,Positif
cepat urus ribet teknisi langsung st set menit kelar,Positif
layan lambat ganggu,Negatif
keluh mulu wifi kabel kurang mentang bayar muas,Negatif
banget sinyal ya los muluudah tunggu ya butuh sinyal kerja min rumah ubah maju min,Positif
sinyal jelekk parahhh,Positif
layan ya bagus tau kendala suruh restart tau lost merah bagus ya lagibdi aplikasi lapor tiket selesai tindak apa,Negatif
provider proses baik minggu los peduli puas customernya pikir kali deh langgan provider,Positif
layan sinyal ganyampe rumah gangomong main data bilang gilir uang masuk ribet kali kroscek ya,Negatif
jaring pasang bagus streaming donlod lancar gaming no banget stabil sesal pindah indihome,Positif
adil banget nih wifi tetangga gue oxigen jalan internet ya gue doang jalan lost conec inter ya jalan hari pls habis nelpon cellsensenter sibuk,Positif
tolong orang reset pasword oxygen id susah aplikasi,Negatif
login update,Positif
ok top,Positif
nonaktif jaring cs bilang tagih double tbtb bayar tagih pakai minggu mati alas bayar kemarin nonaktif duh butung guna cs ya nipu customer pindah kecewa banget,Positif
maling uang kembali,Positif
lot cuy parah pakai doang,Negatif
parah jaring los putus internet slow lelet hadeeee,Positif
mantap,Positif
errrorrrr,Negatif
aplikasi ok after salesnya lambat,Positif
payah masuk,Negatif
parah proses refund lamaacs ya kabur kayak ogah ogah ngelayanin proses refund giliranan duit nomer,Negatif
login,Negatif
layan oxygen buruk pengerjan drainase rumah wifi mati hitung minggu wifinya hidup mati smpi suruh tunggu antri bayar full fasilitas sungguh kecewa tunggu,Positif
buka,Positif
dulunya error diupdate error payah,Negatif
